,Unnamed: 0,Date,Review_text,Review_title,Stars,Positive,Negative,Neutral,Compound,Overall
23,23,2020-06-10,"With COVID-19 situation getting worse, I was really worried of my family's safety. So I bought Lifebuoy hand sanitizer. It's really a good product as it is alcohol based and kills 99.9% germs keeping us safe from any diseases. The smell also is so good, not like other sanitizers which leave the alcohol smell after use. It has the pleasant berry fragrance and the kids will love this smell. The packaging is also good. A total worthy product.",Best sanitizer with pleasant fragrance,5,0.286,0.124,0.589,0.955,Positive
24,24,2020-05-19,"Love this refill bottle. I have so many little empty sanitizer bottles which need filling like the one that goes in my bag, the one in the car and the one that my daughter takes to school. This just perfect for all those refills. Also love the effectiveness by a trusted brand",Fabulous refill,5,0.279,0.028,0.693,0.9511,Positive
25,25,2020-06-20,"I wanted a Hand sanitizer to keep in my car and I found Lifebuoy Hand Sanitizer the most convenient as this 500ml bottle comes with a pump... It is an instant way to hygienic hands, it proved to be really useful while was travelling.. You just need to apply it in your palms and rub it until dry, You can use it when you want to eat something quickly. A must have product as per the current covid-19 situation.",Nice product,5,0.135,0.0,0.865,0.8718,Positive
26,26,2020-06-10,Complete value for moneyThe lifebuoy sanitizer comes in a leak proof transparent plastic bottle. The product is by lifebuoy so there is no question regarding the effectiveness of the sanitizer against germs. It is handy and as per the condition nowadays it is a economic health saver. Best for usage outdoor for the whole family. The fragrance is mild. The sanitizer being alcohol based Vapourises leaving the hands soft. It doesn't dehydrate the skin too much. Overall totally worth the buy. The ratio of quantity to price is very economical.,Great buy at a great price,5,0.091,0.05,0.859,0.6032,Positive
27,27,2020-06-21,"Lifebuoy is a popular hand sanitizer that I receive at home.This sanitizer offers 99.99% protection from germs without using soap or water and is quite effective in keeping you protected from illnesses too as at this time covid -19 pandemic.This alcohol-based hand sanitizer makes sure that your hands are germ-free and this sanitizer usually consists of 95% Alcohal which is available in the form of ethanol, propanol, and isopropanol. It is very essential to protect from covid-19.",Good Product,5,0.227,0.035,0.737,0.9473,Positive
28,28,2020-05-21,"As per today’s condition sanitizer is must for everyone. I bought this sanitizer because it has 70 percent alcohol which is good as per doctor’s recommendation. It not only kills 99.99% germs instantly, but also boosts you immunity for upto 10 hours. Also it is coming from an old and a reputed brand. Lifebuoy Immunity Boosting Hand Sanitizer comes in great fragrances that keep your hands smelling fresh and great. I will definitely try other variants as well and will recommend it to everyone.",Must have product,5,0.351,0.0,0.649,0.9898,Positive
29,29,2020-05-14,Nice. Quality &amp; alcohol base it is good product. But smelling like sweet chocolate type. Privice Lifebuoy hand senitizer is smelling much better than this senitizer. Thatsway I have given 3 star.,Nice product,3,0.445,0.0,0.555,0.9598,Positive
30,30,2020-05-27,"Lifebuoy hand sanitizer is necessity product these days sanitizer. As it is essential product to protect us from covid 19. Lifebuoy hand sanitizer is with 70% alcohol has good fragrance which helps fin full orotextion and safety and helps to foght with germs, bacteria and virus for a longer time, we have to use ot refularly after touching any item and it is very easy to use and can be used by any age group specially children and senior citizens. Also coming from sucha reputed and trusted brand like lifebuoy makes it more convenientand provides confidence. Go for it guys, must buy product at these difficult times and a great value for money.",Must buy santizer from lifebuoy.,5,0.28,0.018,0.702,0.9875,Positive
31,31,2020-06-10,"Lifebuoy hand sanitizer is jel sanitizer. It is now a necessity to sanitise things due to the covid 19 situation. Lifebuoy hand sanitizer is with 70% alcohol it boost our immunity for a longer time.it is very easy to use first apply on your palm,spread and rub front and back of your hand,apply it on fingertips also until dry. Lifebuoy is a trusted and a household brand . Best part is it is made in India .Delivery was on time and value for money. Would def recommend !!!",Best sanitizer!!!,5,0.253,0.0,0.747,0.976,Positive
32,32,2020-06-02,"Yesterday I received my order of LIFEBUOY ALCOHOL BASED HAND SANITIZER from amazon, so just thought of sharing my experience with you all.I used it many times and must say its a damn good product. It kills 99.9% germs and also its scent is very soothing.It gives almost 10hrs protection and doesn't make skin dry. It's very gentle on skin and does what it claims.Best is absolutely travel friendly pack. Highly recommended and value for money too.Stay at home.. Stay safe with lifebuoy hand sanitizers.",Lifebuoy in... Corona out of your life,5,0.272,0.058,0.669,0.9668,Positive
33,33,2020-06-13,"Have been using lifebuoy for a long time. Great product to have during this pandemic. This sanitizer has a good fragrance that last for a while. Quality is very nice as compared to others. It contains 95% ethile alcohol and this sanitizer is gel based. One of the most important thing is that it's consistency is thicker than others. I got a dispenser type bottle in seal pack condition. I am extremely satisfied as it's lifebuoy product and did justice to the brand name. It is easy to use, just take little amount of sanitizer on your palm, spread and rub over back of hands until dry. It protects us for longer time. Worth the money and highly recommended.",Highly recommended,5,0.213,0.0,0.787,0.9773,Positive
34,34,2020-05-20,Product received is different from product shown.,Not Original,1,0.0,0.0,1.0,0.0,Neutral
35,35,2020-05-19,"Like this product of Lifebouy for it's quality, soothing touch, no skin burn feeling. However, I had indented 3 Nos liquid sanitizer with mouth spray for use in my family but surprisingly all the 3 Nos. item found to be gel. Plz follow transparency policy in product nomenclature so that a bona fide customer may opt the product of his or her choice. Thanks.",Transparency policy in product nomenclature.,4,0.189,0.024,0.787,0.8462,Positive
36,36,2020-06-18,"In this tough time this is the best hand sanitizer with 70% Alcohol, One of top leading brand that we can trust , I really like this it's gel based and not watery, I carry this hand sanitizer wherever I go and best part it's pretty affordable, 500 ml at only Rs 250 . It has mild fragrance which j really like.Even I use this sanitizer to sanitize my phone and other stuffs from my bag. I strongly recommend this product to everyone in very much affordable price.",Must have product from trustworthy brand,5,0.302,0.015,0.683,0.9817,Positive
37,37,2020-05-20,Delivered one open pack with all seal opened and torned,Worst,1,0.0,0.0,1.0,0.0,Neutral
38,38,2020-07-04,"Bad scent, very different from 60 ml I used earlier, noticeable changes are, bad scent (guess they didn't mix any), much less viscose (even if that's not important, I must mention it's like water)",Much different from 60 ml packaging bought in January.,2,0.064,0.22,0.716,-0.7263,Negative
39,39,2020-05-24,"I will sum up my review in following parts.1. Cap- The first thing I noticed before ordering is that many people received a bottle with different cap, so did I. The only reason I could think of is that company might have run out of red cap. Also checked with other customers on different websites and some of them have also received the product with different cap.2. Smell/Scent- The sanitizer has strawberry smell, which is different from the other lifebuoy sanitizer but it might be due to the fact that this sanitizer has different composition that the one we buy at our local shop.3. I checked for any tampering with the bottle but even the Cap has two seals, one at the top of the bottle which we will need to remove before using the sanitizer and the other at the bottom to remove the whole cap from the bottle this is visible in many photos submitted by other reviewers.4. The sanitizer is flammable so it does contain a good amount of alcohol.Overall I am satisfied with the product. But they need to provide a disclaimer about the cap and that the image might be different then the original product.",Most Probably Original.,5,0.063,0.0,0.937,0.9136,Positive
40,40,2020-05-25,"It is made with a gel formula enriched with vitamin E and natural moisturizers that clean your hands thoroughly while also leaving them feeling soft and fresh. This sanitizer is formulated with an anti bacterial solution that eliminates all bacteria, leaving your hands healthy and germ free. Just rub onto your hands and this non sticky hand sanitizer can eliminate up to 99.9 percent germs in 10 seconds. The perfect disinfectant to add to your travel and cosmetics kits.",A must buy product in current situation,5,0.279,0.024,0.697,0.9686,Positive
41,41,2020-06-15,"In current situation Lifebouy santizer is the best. It is 95% ethyl alchohol with 70% of isopropyl alcohol). IT is gel and not water based, which makes it's use really easy. It comes from trusted brand. The smell is pleasant. Hands do feel fresh after using it. It is cost effective, not expensive.",alcohol based handwash.,5,0.29,0.0,0.71,0.9595,Positive
42,42,2020-05-29,"Lifebuoy is one of the best brand from unilever, I have been using it's products from my childhood it never disappoint .....so I bought this sanitizer and it's very goog gel like consistency with a slight fragrance. Alcohol content is also enough so it's good to buy.",Lifebuoy is best !!!!,4,0.237,0.0,0.763,0.9081,Positive
43,43,2020-06-18,I love this Lifebuoy hand sanitizer! It is alcohol based.. you need not depend on the availability of water and soap.. it cleans your hand on the go and you can eat your food without having to worry about germs. It's useful for kids and adults alike. I love its fragrance. Just a small amount of sanitizer goes a long way! It's easy to carry and is super useful! Love it!,Bye Bye Germs!,4,0.382,0.0,0.618,0.9884,Positive
44,44,2020-05-23,"I was running out of Sanitizer and I can trust only is Lifebuoy Hand Sanitizer ,The very important thing in this current situation we need is to just take care of ourselves and to keep hygiene..In order to stay safe I use Lifebuoy hand Sanitizer to avoid Virus and I think it's the safest one ..Smells good,soothing on hands and safe I must say...I highly recommend to you all...",Highly recommend!!,5,0.319,0.027,0.655,0.9722,Positive
45,45,2020-07-10,In this pandemic time savior is sanitizer and Lifebuoy sanitizer is a good sanitizer available. It kills germs and moisture hands it doesn't make hands rough as most of the sanitizer does. I have been using this for a long time and can say its worth buying.,Good buy,5,0.097,0.071,0.832,0.0772,Positive
46,46,2020-06-14,As today we are facing a great pandemic covid-19 it is our duty to keep ourselves and our hands clean and lifebouy handsanitizer is providing the best as it is alcohol based and fights the germs 99.99% which is what we need the most. Another thing is the texture and consistency is very smooth as it spreads very evenly on the hands without making our hands oily. I like the fragrance as it is very light and does not have any bad odour or strong smell that irritates later.The packing is good and very easy to open and pour. It also have good price worth the money and quantity is pretty good.,Stay safe,5,0.265,0.039,0.695,0.9838,Positive
47,47,2020-07-11,"The brand is sufficient to trust the quality. Though I thought that the content would be bit of watery but it's more of a gel, which according to doctors and specialist is the real identity of a samtizer. Also, use it only when you don't have the option of soap and water because excessive use of samtizers can lead you to allergies and other itchy issues.",Brand is sufficient,5,0.033,0.04,0.927,-0.128,Negative
48,48,2020-05-23,Fragrance-100%Cleanliness-100%During this lockdown I was concerned about protection from germ &amp; purchased this alcohol based germ sanitizer.Happy with the usageAft comin frim market this is the first thing v use before entering n touching other things at home .,Germ se raho dur,5,0.0,0.0,1.0,0.0,Neutral
49,49,2020-08-31,Got this at 225 rupees though MRP is 250 rupees.Surprised by amazon delivery because I got it delivered in the next day in rural area.This sanitizer has more alcohol percentage compared to others in the market with similar price.Previously I was using same sanitizer.Now it become little thinner though it is gel based.Immediately catches fire from match stick due to high alcohol content. Don't try at home.,Best hand sanitizer you can trust 100 percent.,5,0.025,0.036,0.939,-0.1779,Negative
50,50,2020-07-10,It seems duplicate product I have recieved. Item in the picture and the item received is different (cap). Regularly I have purchased lifebouy sanitizer (small size ) from local stores for past 5-6 months and its smell good and little bit of gel type. But this one smells entirely different and it's like water type.Also delivery takes lots of time.its in my near by place and it took 4-5 days for delivery,Seems like a duplicate product,1,0.072,0.0,0.928,0.6369,Positive
51,51,2020-05-28,"Its manufactured by some third party and sold under Lifebuoy brand, the quality is not same/good, as that of small bottles of same brand.Scent is too strong &amp; remains for long time, and a bit sticky on hands...","Too strong smell, sticky...",2,0.146,0.0,0.854,0.7184,Positive
52,52,2020-05-31,"""scent"" like sweet candy, gel based very thick gel. Alcohol 70% . All good but didn't like the scent.On my recomend1Dettol no scent2Dabur scent like flower &amp; lemon3 Lifebuoy scent like candy",Sweet candy type scent,4,0.366,0.066,0.568,0.8922,Positive
53,53,2020-06-19,Product is good but packaging was vary bad..i received brocken pump set..it was very difficult to use pump was not working properly and it was a not returnable product..So I had to transfer the sanitizer it into a empty old bottle to use it..,Bad experience,4,0.043,0.128,0.829,-0.6046,Negative
54,54,2020-06-22,"Value for money, the quantity is more compared to other sanitizers, has more percentage of alcohol which ensures complete protection!! This is a good buy indeed. Additionally it also has a safety lock feature keeping it same from kids.",Value for Money OK_hand ,4,0.203,0.0,0.797,0.8264,Positive
55,55,2020-06-24,In the current times we always need to clean our hands with soap or sanitizer to be safe.What could be better than our trusted brand lifebuoy..it has 70% alcohol thus perfectly capable of killing all kinds of microorganisms..The product comes in good airtight packaging and is gel based non messy hand sanitizer.The best part is it is having a nice light scent not harsh alcoholic smell...,Best value for money hand sanitizer from a trusted brand..,4,0.341,0.076,0.583,0.9723,Positive
56,56,2020-06-08,Gel like but thin texture... Evaporates quickly... Doesn't leave any sticky feeling on hand... Has strong alcoholy fragrance and definitely very affordable,Affordable,4,0.428,0.0,0.572,0.8939,Positive
57,57,2020-06-23,At this situation the most important thing is clean hands. So lifebuoy had sanitizer is very mild scented. Comes with a convenient Bottle which make it easy to use. It is very affordable and value for money. Over all very happy with the product quality and quantity.,Happy with quality and quantity,5,0.259,0.0,0.741,0.9239,Positive
58,58,2020-08-01,"Sanitizer bottles were received without seal, which raises doubt whether the sanitizer liquid is genuine. I am not going to use this item in this condition. If Amazon takes it back, it is OK. Otherwise I shall dump it in dustbin. Very bad. Amazon should be careful in selling such products. In April 20 I purchased three bottles of Lifebuoy sanitizer of 500ml pack from Flipkart, which were received in nice sealed pack condition. This is not expected from Amazon.",Received without seal,1,0.139,0.1,0.761,0.1381,Positive
59,59,2020-06-12,"During this covid‐19 time it is very essential product and value for money .it has proper alcohol composition balance as recommended by WHO.comes directly from hindustan Unilever. Its important to sanitize hands while he is out of home and other equipments like helmets ,lifts ,doorknobs glasses etc.",Lifebuoy alcohol based sanitizer.,5,0.165,0.0,0.835,0.7579,Positive
60,60,2020-07-03,Lifebuoy hand sanitiser is much required product in today’s scenario where everyone is selling sanitiser and the worst part is that u can’t trust that are they actually giving 70 % alcohol but with lifebuoy u can undoubtedly trust the product and brand . Fragrance is really good and product is also good. Skin doesn’t feel dry after using . Recommended product and true value for money .,Best Product *****,4,0.339,0.031,0.63,0.9762,Positive
61,61,2020-06-09,"It has strawberry fragrance, A PERFUMED Gel based sanitizer, in this bottle you will get much higher Alcohol composition than CDC( Center for decease control and prevention) recommends. Life saver in this pandemic situation.... I'm using it since years n i keep on buying this sanitizer for my life time.... Feels so fresh n cool when u use it.... But beware when u r working in kitchen... Keep this away from children n fire as well....Go for it.","Very good sanitizer, a large bottle for anytime, anywhere use. Gel based",5,0.07,0.042,0.888,0.0348,Positive
62,62,2020-06-20,I stand by Lifebuoy products only because they have been in the market for many many years. I trust their products and they were first company to bring in hand sanitizers in India. It has no smell and the alcohol content is correct. It dries fast and definitely safe for kids. I trust Lifebuoy for my Kids.,I trust Lifebuoy for my Kids,5,0.235,0.034,0.732,0.9217,Positive
63,63,2020-06-26,This one has some kind of strawberry smell which is really nice. Not like those 90 percent isopropyl ones which has kerosene type of smell. You won't be able to smell the EtOH in it unless you mix some amount of water with it cz this one is a totally gel type sanitizer.The only problem i faced with this sanitizer is that you have to pour a really lagre amount of it in your hands to rub cz this one evaporates really quick.,Better than those homemade daru sanitizer remedies.,4,0.036,0.06,0.904,-0.2455,Negative
64,64,2020-07-08,Absolutely fake product! Out of 4 bottles one was probably original but the rest 3 were fake and easily discernable as handmade!!! Disgusted as was expecting all 4 original ones!!! The caps were also broken,Total Fake product using Brandname,1,0.156,0.338,0.506,-0.9002,Negative
65,65,2020-06-19,"It's definitely a mustbuy product in this current covid 19 situation as one doesn't have to panic and worry about anything because of such an old and trusted brands who will never cheat. For me thes best part is value for money as 500ml only for 250rs plus it contains 70% alcohol whichbis the most imp composition for any sanitizer .Also, it doesn’t smell like those typical cleansers rather it has a soothing fragrance.",Trusted brand sanitizer review ..Happy customer  smiling_face_with_heart-eyes  grinning_face ,5,0.254,0.033,0.714,0.9551,Positive
66,66,2020-05-20,Not same as shown in picture....so very confuse....the product is duplicate or not...,Duplicate???????,1,0.0,0.0,1.0,0.0,Neutral
67,67,2020-05-23,"It looks like duplicate product.As comparison to small bottle from market, it's smell differs. Moreover no manufacturing date, no expiry date, no batch no, no mrp printed on it. Image in app also does not show any such information.Only written by seller in description about expiry date.Dont buy it.",Looks like duplicate product,2,0.044,0.195,0.761,-0.7579,Negative
68,68,2020-07-23,The seal is missing. It's ambiguous to say if the product is original or not.TO NOTE  the smell is different from the original lifebuoy sanitizer.,NO SEAL  PRODUCT MIGHT BE DUPLICATE !!,1,0.16,0.076,0.764,0.34,Positive
69,69,2020-06-01,"This pandemic situation, this product has become the most important thing in our daily life &amp; Lifebuoy gives us the most precious thing to save us. Thanks Amazon, thanks Lifebuoy, thanks Cloudtail India.P.s. smell is too sweet for me with respect to other Lifebuoy hand sanitizer variations.  )",Product from the brand of trust,5,0.439,0.0,0.561,0.9798,Positive
70,70,2020-07-10,It's very thick gel and sticky. Before it was nice when this used to cost Rs 55 for 50ml. Now quality detoriated with less cost. Dettol and savlon is better than this.,Very sticky,3,0.16,0.0,0.84,0.6908,Positive
71,71,2020-08-21,Duplicate... I ordered different one which is original one I got it in D-Mart at 213 with neck squeeze mechanism by lookin At the images.. Now images are changed.. it smells worst as well...,Duplicate and not like as mentioned in images..,1,0.063,0.113,0.824,-0.4215,Negative
72,72,2020-05-20,purchage from chemist shop not from amazon,purchage from chemist shop not from amazon,1,0.0,0.202,0.798,-0.1326,Negative
73,73,2020-08-28,I am using Amazon for last 7-8 (around). I really appreciate their service. But this time I have experienced very very bad packaging. The liquid from the bottle was leaking through the loose cap. This should be improved by Amazon.,Very Bad Packaging!,4,0.194,0.174,0.631,-0.2525,Negative
74,74,2020-05-19,The cap is different from the product shown. Don't know whether it original or fake product. The smell is not goo.,Different from the picture shown.,2,0.094,0.127,0.779,-0.2023,Negative
75,75,2020-06-25,"Product is very different from the smaller versions of lifebuoy hand sanitizers, smells different and I received a pump dispenser bottle with was broken and the liquid was leaking everywhere. Get the smaller ones, not sure if this is original or not .",Smh,1,0.118,0.109,0.773,0.1124,Positive
76,76,2020-05-28,Not same as what you see in picture I got in white cap and low quality lifeboy raper not sure is this original or not not recommended go for Himalayan hand sentizer.,Not look like original product,4,0.172,0.209,0.619,-0.3661,Negative
77,77,2020-09-06,"This is a complete fake product. No alcohol at all and while rubbing in hand, it gives bubbles like hand soap. Not worth. Complete fake product.Not expected this from a brand like lifebuoy.I hate this. This is not good taking advantage of the situation. Not good at all.Please don't buy this product.",Fake Product,1,0.164,0.291,0.545,-0.7856,Negative
78,78,2020-06-19,It's thick jelly liquid with scent not feel good and remain with hands for much time. If it would in complete flowable form and scent could be better..!,Scent is bad...jelly like liquid form,2,0.0,0.091,0.909,-0.4015,Negative
79,79,2020-07-31,This is totally duplicate product...there is no seal in cap...smell is different...bad smell... liquid is thin...why Amazon is sending duplicate products,Duplicate products,1,0.074,0.096,0.83,-0.128,Negative
80,80,2020-06-24,I quite like the product but not the packaging. It needed a pump. Not sure who was the genius at Lifebuoy who thought of doing it this way!,Rubbish Packaging!!,3,0.066,0.096,0.838,-0.2116,Negative
81,81,2020-06-22,"The product looks like a local made put in lifebuoy's packing! It smells bad and nothing like the original product. Plus, the bottle came to me in a bad condition. There should be a seal from the company's side so as to confirm that the product is original. Please buy this from a local shop and not online.",Local product in Lifebuoy packing,1,0.111,0.171,0.717,-0.6015,Negative
82,82,2020-08-10,"It smells good... don't have microscope or wht they use to see how many germs r left,,,not have that one so don't really know if it kills all the germs or not but the bottle looks good it is plastic with a lot of jelly thingbin it which looks good just keep one in everyroom and rub it in ur hands everysingle minute.",Nice product,5,0.113,0.033,0.854,0.7543,Positive
83,83,2020-07-14,"This is one of the good product, the dispenser has locking and unlocking system, the quality of the product can be judged with one statement that it is MADE IN INDIA. way better than Chinese standards.",Made In India,5,0.146,0.0,0.854,0.7003,Positive
84,84,2020-06-15,Good and useful product. Outer box Packaging was completely damaged and 4 bottles were missing. Packaging requires to be improved a lot.,Great product with shoddy outer box packaging,4,0.304,0.184,0.512,0.5434,Positive
85,85,2020-06-19,This product is must in current scenario. It smells so good and leaves hand moist for long. U can carry it in your purse or pocket easily.Must recommended for current usage,Fragrance is good,5,0.245,0.0,0.755,0.829,Positive
86,86,2020-06-23,It is an original product but the formulation is different from the earlier lifebuoy sanitisers. It is a very strong formulation which evaporates quickly from your hands but has a nice smell to it. Packaging was fine and product was received without any damages. It is not gel based but is effective.,Original but different,4,0.309,0.0,0.691,0.9623,Positive
87,87,2020-06-17,"It's a really good hand sanitizer I've been using for a month and its smell is really good I'm happy to use it. If you really want to get a good hand sanitizer, it will be good for you",Best Hand sanitizer,5,0.475,0.0,0.525,0.9758,Positive
88,88,2020-06-08,"The same product brought by our friend,the scent of their product was too good. But the product I received is different. The scent of the product is too bad to have.I do not recommend to buy. Didn't expect from Amazon. My faith from Amazon just melted and will think twice before buying anything from Amazon.",Don't want to buy again,1,0.086,0.195,0.719,-0.7266,Negative
89,89,2020-08-21,Needless to say that it has a strong smell but after using it for a couple of time it becomes tolerable. However it claims to kill 99% microscopic organisms but do not sure about it.,Basic Need of the New Normal,5,0.052,0.219,0.729,-0.8335,Negative
90,90,2020-06-06,"Very effective. More than 90% alcohol content. Hands feel real clean. Price effective for given quantity. Yes, I added the pump to it.",Awesome product,5,0.404,0.0,0.596,0.9039,Positive
