,Unnamed: 0,Date,Review_text,Review_title,Stars,Positive,Negative,Neutral,Compound,Overall
10,10,2020-07-23,"Quite a few reviews saying this is expensive than other surface disinfectant sprays like Savlon, Dettol, Dabur, Bodyguard but forgets to mention those are based on LPG/propellant with excipients. Nowhere on those products it is mentioned that you can use those on hands.Whereas this Lifebuoy Germ Kill spray is based on ENA (Extra Neutral Alcohol) which is a food grade alcohol of highest purity that you can find on alcoholic beverages.Coming to price for 75ml at ₹149 it surely is a lot expensive than other surface disinfectant sprays available but this is also a lot more compact, easy to fit in your bag when using outside. You don't need to carry another hand sanitizer since this can also be safely used on hands.I tried this to clean my mobile's tempered glass and to my surprise it didn't create a sticky rainbow mess which was an issue while using the gel based hand sanitizer from same brand.Another thing is that HUL is using different ingredients to make these hand sanitizers nowadays. Some are old perfumed gel based with ethyl alcohol but some are ENA based same as this product and those are available at 500ml bottles with same ingredients as this one at normal hand sanitizer price. But then it's also a lot of hassle to get that version, putting in a spray bottle whereas this is a lot easy to get and more compact, sturdy to use anywhere.Overall I quite liked the pleasant fragrance but they need to do something about the pricing.",An expensive spray that works as surface disinfectant but also can be used safely on hands!,4,0.184,0.041,0.775,0.9923,Positive
11,11,2020-06-02,I received a damaged product today...paying such price for this defective product!not at all expected from Amazon!I'm highly disappointed...I want a replacement or a refund ASAP,Received damaged product,1,0.058,0.25,0.692,-0.7415,Negative
12,12,2020-09-04,"The best feature of this lifebuoy anti-germ spray is that it's safe on the hands as well as the usual hard/soft surfaces. It's ideal for people who remain outside for longer hours on daily basis like office staffs, hospital staffs, travellers..etc and a safe alternative to handwashes that need water. Got 2 for just 198 from Amazon.",Very safe hand spray  slightly_smiling_face ,5,0.291,0.0,0.709,0.9565,Positive
13,13,2020-06-30,"This is my first bad experience from cloudtail. I generally avoid other sellers due to trust issues and past experiences. Anyway, this product was slightly damaged. Had a few dents. I had to buy 2 at once; cloudtail's policy; and I am okay with that. One bottle has a copper ring around the nozzle and other one had silver ring. I have uploaded the photographs. I am not sure if these were used products or damaged ones.For the good part  The scent is really good and pleasant. Using the spray is comfortable. Does not cause any irritation on the skin.If you don't want to use on skin, but only on surfaces, savlon is better and cheaper.",Recieved a damaged product from a decent seller,2,0.145,0.083,0.773,0.8217,Positive
14,14,2020-05-23,Not value for money.I always get damaged bottle.Savlon Surface Disinfectant Spray 170 g is the best.,I always get damaged bottle. Not value for money.,1,0.199,0.234,0.568,0.068,Positive
15,15,2020-06-08,"Very good and effective in this time of Covid 19 pandemic.Good sweet fragrance. Strongly recommended.U can use easily this on your mobile, TV remote, laptops , car keys , car steering etc etc.#Lifebuoy_family  hugging_face ",Good Disinfectant spray in the market,4,0.342,0.0,0.658,0.9195,Positive
16,16,2020-07-27,"About the product This is the best sanitizer. Lifebuoy is a brand so you don't have to worry about the quality. It has very good fragrance, and does not at all smell clinical which causes a slight nauseous sensation in me. So I have used it more than twice. The fragrance lasts when used so you feel assured about the hygiene and sanitation. Consistency is thick, but it easily lasted more than a month for me. In the pandemic, I used many sanitizers, but this one beats them all. USe it for your skin or surface and feel safer with this.About the packaging The seal was broken. The bottle felt light as if used. Tried returning but since it is non-returnable, I was asked by AMAZON CUSTOMER CARE to discard and got the refund...GO FOR IT.",***GO FOR IT*** But DO CHECK for seal.,5,0.157,0.044,0.799,0.9431,Positive
17,17,2020-06-02,One of them has not Cap.,Dishonest Seller,1,0.0,0.0,1.0,0.0,Neutral
18,18,2020-06-19,"Okay so now after using it for a month , here are my views - i liked the product overall . The quantity is fine because if you are using it for daily use , where you need to sanitize your mobile phones , door bells and delivery packages , one bottle will last a month or so .The thing i like about this product compared to other products in the market is that if by mistake the liquid spills and touches your hand it is safe .My reccomendations for improvement to the brand - you have scope of improvement in the nozzle and spray area . One of the bottles that i have has a small of amount of liquid left but when i press the nozzle the liquid doesn't come out . so i feel you need to improve it .",Good,4,0.137,0.013,0.85,0.9158,Positive
19,19,2020-06-09,Very bad.. Out of 2 bottle 1 is working.. Also not sealed. Very very bad. Not expected from cloudtail,Worst product and seller,1,0.0,0.203,0.797,-0.6214,Negative
20,20,2020-08-29,"The quantity is a lot less as compared to other disinfectant sprays available in the same price. The spray system is similar to that of a perfume bottle and not deodrants, i.e., you have to repeatedly press it for spraying on surfaces. The consistency is watery and took ~7minutes to completey dry. The smell is good but quite strong. Better to invest in other disinfectant sprays in the same amount. Moreover, due to no-return policy and min. order qty. being 2, it was a complete loss for me as I needed only 1 can but HAD TO order 2 and couldn't even return those even when they were damaged.",Not worth the money,1,0.096,0.059,0.846,0.6494,Positive
21,21,2020-10-01,"This is really amazing and makes me tension free of having germs in my surroundings. It is very important to sanitize our gadgets as well in this pandemic situation... This is really a great product for disinfecting surfaces... It is travel friendly so that u can throw it in aur bag while u step out of ur home. .Everyone should carry a disinfectant along with sanitizer. Spray this after coming from outside. Spray this into your bag, shoes, cloths, umbrella, phone , purse e.t.c . It's is also safe to use on skin surfaces. It smells great.And is it says no gas means it is ... Perfect for home use and office use.",Life saviour.... Must have....,5,0.203,0.035,0.762,0.9693,Positive
22,22,2020-06-19,"Firstly the product was awesome, it can be easily carried in our purse, bags, etc.. We can never expect the intensity of the germs present around us... So carrying the pocket friendly spray with us, can be used to spray in our daily works.. Before pressing the lift button, before touching office files, getting back on to the vehicle . Actually I'm using many ways.. So I m expressing very few of them.. Really very useful product.. Thanks to amazon.. Because this product was not available in many places.. I'm time delivery and safely delivered...",Pocket protection,5,0.185,0.0,0.815,0.9614,Positive
23,23,2020-09-15,"The spray is very bad..first it doesn't spray properly so have to press very hard sometime.i have 2 bottles both r same problem.. another thing instead spray small drops that can spread all over surface it spray like stre of water..It has very small quantity ,so finish very quickly..instead prefer to buy savlon surface disinfectant which spray is smooth press..&amp; soray small drops &amp; cover whole surface area,smell.of savlon is also pleasing one like room freshner..&amp; give more quantity than this.",Bad product buy savlon surface disinfectant,1,0.099,0.02,0.881,0.7722,Positive
24,24,2020-10-01,"In current situation, the lifebuoy germ liquid spray protects us from infectious object, helps in removing germs, bacterias, viruses, infections from surfaces like mobile phones, tv remotes, door handles, table tops, etc without coming in contact. A very handy product to carry anywhere. Safe on skin if comes in contact and no stains left after spraying on objects. value for money product.","Handy, keep surface clean protected from germs. worth buying",5,0.222,0.03,0.748,0.9153,Positive
25,25,2020-05-27,"This LIFEBUOY Antibacterial Germ Kill Spray is LIFE SAVIOUR. It's very handy and best for travelling. This spray is very nice to use during this time whether it be your doors, doorbell, groceries, and other stuffs too.. Really helped us to keep everything germ free in this Scary times..This is a must have product in this situation..Thanks for Amazon for keeping this in stock..","Trustworthy brand , amazing product",5,0.162,0.102,0.736,0.5657,Positive
26,26,2020-06-21,"Extremely inconvenient to use for SUCH A HIGH PRICE!!The spray mouth &amp; area is very small, hence you will have to keep spraying multiple times. The spray doesn't work also several times; so one will have to keep shaking, try holding the bottle at different angles to see if that works, keep pressing it &amp; even then it doesn't work at times. So if you disinfecting a large area, your hand will start aching after sometime due to all the shaking of the bottle &amp; pressing of the nozzle.",The spray doesn't work very well,3,0.034,0.104,0.862,-0.6885,Negative
27,27,2020-10-01,"This product is very effective as it kills all types of bacteria and most importantly it kills 99.9% germs. Very handy to use ,can be taken anywhere and very good quantity in this price. Earlier I used to be so worried that how am I going to sanatise my babies toys but since the day I got it,I am now tension free and can sanatise my daughter's toys at any time.really happy with the product.",Worth the money,5,0.177,0.107,0.716,0.8023,Positive
28,28,2020-06-17,"The items just came in a amazon cover and one of them had a big dent on it. The spray caps are different for each of the items and one of them weigh less and the most pathetic thing is that there was a leakage. Not worth the money spent on this item, rather better wud have got a savlon spray.This is supposed to be a disinfectant or germ kill spray as per product description however feedback is asked on scent, is that supposed to be funny?Is this a genuine product from Lifebuoy????",Not up the standard - is this genuine prod????,1,0.047,0.116,0.837,-0.828,Negative
29,29,2020-10-01,"Lifebuoy Germs kill Spray is very best for killed bacteria and viruses. It's killed instant 99.9% bacteria &amp;viruses. It's very safe for skin and surface.It is no gas formula. This is very good for our hand sensitization. Germs on surface thats are best to use on frequently touched-Mobile phones,Tables top,car handle,car keys, delivery package,toys etc.lifebuoy world's number 1 germs protection brand. It's very easy to use and easy to carry anywhere.",It's killed 99.9% bacteria and viruses,5,0.261,0.163,0.576,0.833,Positive
30,30,2020-10-01,"Genuinely excellent product. Very effective instant Germ Kill Spray. The quantity is good at this price.. Since the Covid situation has been started, i have used many different types of Disinfectant sprays. But this is the best so far.. I mostly use while traveling in cars, auto rickshaw, on bike. Basically i mostly and often use outside outdoors. It's really just best!!",Excellent product so far..,5,0.251,0.038,0.711,0.9504,Positive
31,31,2020-06-21,I don't know how much does this sanitizer spray kills germs. But it smells amazing. I bought this spray to spray it on my courier package what comes from outside.It is very easy to use as well. I got this in the retail price.,Easy to use.. thumbs_up ,5,0.236,0.044,0.72,0.8977,Positive
32,32,2020-10-01,"Lifebuoy Antibacterial Germ Kill Spray is perfect to use to disinfect the things and mobile phone screen. It eliminates illness causing all kinds of viruses, germs, fungi, bacteria. It is also safe to use on skin. The quantity is also good at this price.Fragrance of spray is also good. We also can use this spray to disinfect mobile screen. It's easy to carry while traveling.I recommended my friends and family for this.",Good Germs Kill Spray,5,0.223,0.082,0.695,0.8957,Positive
33,33,2020-10-01,"This disinfectant spray is very useful in this covid 19 situation. It is easy to handle and easy to carry anywhere. This spray makes feel fresh as it smells like a deodorant. It is easy to sanitize things. It can be used to disinfect the most touched things like door handles, keys and many other things. Must buy in this pandemic situation.",Very nice disinfectant.,5,0.262,0.0,0.738,0.9531,Positive
34,34,2020-07-27,Product good but price high,Supper,5,0.328,0.0,0.672,0.2382,Positive
35,35,2020-10-01,"This is perfect to sanitize alot of things like parcels, doors, keys etc. I carry it in gym and spray little bit on every equipment I use. Very easy to carry and is safe On Skin. A must buy product in this covid 19 situation. Lifebuoy is a brand we all trust.. This spray is perfect for things where we can't apply our gel based sanitizer like doors, chairs, keys etc...","Must have product and great to sanitize doors, etc.",5,0.233,0.0,0.767,0.9552,Positive
36,36,2020-06-03,"Pungent smell says it is good sanitizer. Sprayer is not up to the mark , some amount is trickling if not properly operated , very small quantity for that cost , and some amount of liquid already dribbling when I first opened the lid . Is it because of package or somebody already used ?",Product wise it is good,4,0.057,0.023,0.92,0.4019,Positive
37,37,2020-10-01,In coronavirus time I am very upset how to protect my so and fmly. 2 years before he go through open heart surgery and that why taking to his care I am always looking best for him and when I got this spray i am free to use this this is best quality spray timely delivered and affordable.,Best for fmly,5,0.26,0.043,0.697,0.9393,Positive
38,38,2020-06-25,"I have used it for more than a week and it is really very helpful to use anytime it can be easily carried in our purse, bags.It is skin sensitive and can use in other things also like u can spray on a mobile,door handles and on keys.So I can say it is very good product and best to use now in pendamic time.",Skin friendly..,5,0.225,0.0,0.775,0.9399,Positive
39,39,2020-06-13,Ordered this sanitizer spray as we need to keep everything sanitized and protected in this bad situation where everyone is getting infected with the problem. This spray is okay and can be taken if nothing else you can find. Only one thing good about this spray is that it’s branded so I believe that it does it work well. Else the spray bottle is small but handy to use. Over decent spray to get and to sanitize everything around.,Sanitizer spray,4,0.082,0.074,0.844,-0.0772,Negative
40,40,2020-10-01,The Quality product from a reputed brand from the Market. I really like the quality of the container design which is easy to carry and handle. Go for it if you are confused about which product to buy and the due huge number of products in the market not sure about their quality and better choice . I bought it because I trust the brand and their selection of raw material and manufacturing process. Delivered on time and without any damages.,Recommended,5,0.201,0.048,0.751,0.9125,Positive
41,41,2020-10-01,Was looking for a good disinfectant spray as I have kids in my family and keeping them safe from flu and virus is really tough. So while browsing Lifebuoy germ kill spray caught my eye and without a second thought got it. I am very much satisfied with it. I used it to clean my phone and dining table surface area. It is very mild and soothing.This is also very comfortable to carry and use while you travelling as well.I am preety happy with this product.,Worth to buy this during Covid pandemic.,5,0.189,0.091,0.72,0.8683,Positive
42,42,2020-09-30,Lifeboy antibacterial germs killer spary is very protective in this pandemic period .whn u go anywhr thn use this spary for killing germs and can use as a sanitizing spray .. very effective and very protecive from germs and micro bacteria in liquid form.totally useful and highly recommended ..,Best antibactierial germs killer spray in this pandemic,5,0.142,0.147,0.711,-0.3213,Negative
43,43,2020-08-12,The price is very comparing to other surface disinfectant online. Dont know why lifebuoy sells like this. And the quantity is very little. Not satisfied with that,Price high,3,0.084,0.078,0.838,0.0471,Positive
44,44,2020-06-24,Lifebuoy antibacterial germ kill spray is very handy because of slim bottle. We can spray on anthing to sanitise. As lifebuoy is well known brand scent is also mild. Packaging of bottle is good and easy to use on hands to kill bacteria and maintain hygin.Safe for skin.,Antibacterial spray with handy bottle.,5,0.131,0.156,0.713,-0.5423,Negative
45,45,2020-10-01,Overall this is a good option as a sanitizer spray but when I received the bottle the cap was open and bottle had leaked. So please be cautious. Otherwise it has the required amount of ingredients for disinfectant purpose and easy to carry in a bag.,Good Sanitizer spray but bottle may leak,4,0.189,0.096,0.715,0.7042,Positive
46,46,2020-06-22,"Except for the packaging, that wasn't proper since it had leaked a little, the rest is good.The bottle is slim and is easy to carry. We use it spray door knobs, packets, and even on our hands.The scent is like lifebuoy soap and disappears in a while.",Great product.,5,0.106,0.092,0.802,0.1779,Positive
47,47,2020-10-01,"I am using this from last few days It's very useful for sanitization for the Handles, Doors, sofa, tables, cup boards , toys for my nephew.I am personally using this for the disinfection my vehicle keys and wallet as well.Preety happy with the use of product in COVID-19.Easy to use and spray,no need to wipe after the use of spray.Very comfortable to carry and use while the journey as well.Preety happy with the product from the Trusted Brand",Product from the Trusted Brand,5,0.193,0.0,0.807,0.9516,Positive
48,48,2020-06-13,"Price is little high but ingredients are good , scent is also good , 70% neutral alcohol whereas in this price point Savlon is giving double but that is ethanol(not safe on hands) whereas it has alcohol (safe on hands)Its pocket friendly also we can keep it in our pocket.",Good one with neutral alcohol.,5,0.306,0.0,0.694,0.9636,Positive
49,49,2020-08-04,It's kind of pee spray which is used on seat of toilet while using public washrooms .Fragnanace was good Beacuse of ethonol contentThe product is 75 ml sold at 149 but if we check the retailers local we can get this for less price ..129,"Nice fragnence , Too pricyy",2,0.042,0.0,0.958,0.2382,Positive
50,50,2020-07-21,"The time are so critical that we have used all sorts of disinfectants and sprays... i have recently started going to office, i have used both of these products....the Lifebuoy spray doesn't evaporate after spraying... on my laptop it has left spray marks after continuous use for 2 days.. it says safe on skin... but i will seriously recommend you guys not to do that as it leaves the skin super dry and chapped... on the contrary this Disinfectant by rahosafe has very mild smell.. when i use it in my car.. it causes no suffocation and evaporates super fast leaving zero mark..... this also is not ideal for skin.. but they don't claim it ..so its okay...",Smell is poor...The nozel is not of good in quality..,1,0.121,0.08,0.799,0.8121,Positive
51,51,2020-07-29,"I have uaed both lifnuoy and savalonI prefer this one rather than savalonSavalon bottle.is bulky and gas compressed technologyBut this one quite sleek in diaEasy to carry if want to use in go.No gas, only liquid","No gas, only liquid",5,0.037,0.0,0.963,0.0772,Positive
52,52,2020-06-28,"Helpful product in these days which can be used to disinfect your parcels, milk packets and other packed items. It is easy to use as no wiping is required. Its easy to carry anywhere. it's fragrance will refresh you . Packaging is also good as its no gas formula comes in a spill proof pack . It is also safe for skin and surface both.",Worth the price!,5,0.195,0.06,0.745,0.875,Positive
53,53,2020-08-01,"Don't go for it because1) the spray mechanism is very defective, not works properly, no body knows when it works, therefore depending on this spray is a tension one2) spray is not continuous. It stops working after few seconds.2) it's smell is very strong ,unbearable",Don't go for it,1,0.135,0.107,0.758,0.1109,Positive
54,54,2020-07-23,"Product is good but I’m giving 2 stars because of the condition in which can was received from amazon, firstly there was no cAp for both the cans and they were dented and squeezed from almost every where and looked very old not expected from amazon",No cap received and dented cans,2,0.176,0.054,0.77,0.6542,Positive
55,55,2020-07-22,"The product is a really good idea and practical, but it essentially is just sanitizer that has the same germ killing properties as any normal hand sanitizer, the difference being that this can be sprayed easily on surfaces. Although it is recommended during this current situation and you can't put a price on safety, come on Lifebouy you can put a price on this product and it could be much lower.",Practical but Overpriced,3,0.181,0.104,0.715,0.6701,Positive
56,56,2020-06-13,"Too expensive. Yes,its handy. But, we get more quantity for the same price from other companies. Moreover, it's the same product. The compositions are the same. So, I won't buy it again.",Too expensive.,1,0.0,0.0,1.0,0.0,Neutral
57,57,2020-06-18,This spray saved me from carona the size is small so i carry it every where . before touching any surface or when we go shopping and want to sit just spray n stay safe.. It has multiple uses at home also n fragrance is mild as compared to other products love it.,Good product,5,0.153,0.0,0.847,0.8074,Positive
58,58,2020-10-01,"Markets are flooded with sanitizers, but to find a good and trusted one is difficult.Lifebuoy is a name we have heard since our childhood, so i gave this a try and i m not at all dissatisfied.Trusted and loved brand since ages. same goes with their this new product.",Liked it,4,0.25,0.0,0.75,0.9366,Positive
59,59,2020-10-02,"Lifebuoy is another trusted brand name offering a variety of products that can help you keep yourself and your surroundings clean. This germ kill spray is known for its targeted action on bacteria, virus and other microorganisms and can kill a variety of them. The spray is safe on both surface and skin ensuring that you do not have to worry if your skin accidentally comes in contact with the spray. This spray is very much safe to use and while traveling always carry this with you.",Very useful product in this pandemic,5,0.178,0.112,0.71,0.6131,Positive
60,60,2020-07-15,"Received a used and damaged product. Received one without a spray head and the one with the spray head has already been used. Packaging was bad. Also the spray leaves a weird odour behind. And like they suggest us not to wipe, we’ll have to wipe it because after we spray and leave it out to dry the surface, it gets sticky. So if you’ve come here to buy this product thinking sanitising a surface is easy with this, you’re wrong. You might as well try buying the Dettol disinfectant spray. This one doesn’t have a good coverage of surface, takes a lot of time to dry and we have to wipe it.",DO NOT BUY THIS PRODUCT. ABSOLUTE WASTE OF MONEY.,1,0.086,0.103,0.811,-0.25,Negative
61,61,2020-06-05,Not working....n there is no option for returning the product.....they should check the product before delivering...,Worst,1,0.0,0.128,0.872,-0.296,Negative
62,62,2020-06-29,When buying it I did not realise it was so small! Only 75ml for Rs 149  Savlon spray for 159 is 230ml so three times more for Rs 10).,Very expensive for 75ml  -(,1,0.0,0.0,1.0,0.0,Neutral
63,63,2020-06-29,Although lifebuoy is a good quality surface sanitizer I find this spray to be expensive. Rs.149 for just 75ml is too much. By adding another Rs.10 we can get savlon spray of 230ml which is offering higher volume. The only difference between this two is lifebouy is WITHOUT GAS...,Good but Expensive...,3,0.059,0.0,0.941,0.4404,Positive
64,64,2020-06-06,The item delivered was damaged.,Delivery of damaged sprayer,1,0.0,0.42,0.58,-0.4404,Negative
65,65,2020-10-01,"Lifebuoy instant Germ Kill Spray as said kills 99.9% bacteria and viruses is very effective........it can sprayed over mobile,parcels ,toys etc........easy to use...safe on skin,easy to carry,no gas formula......skin friendly....Eliminates illness causing bacteria and viruses.....a must in every house seeing the present pandemic situation......",Really effective and easy to use....,5,0.0,0.21,0.79,-0.8979,Negative
66,66,2020-06-24,The spray is very good. Needed the most during this corona virus spread. I use it to sanitize every product I buy. Very useful inside the house also. I use it on my door handles also. Smells good. Overall a very nice product.,Spray is very useful,5,0.266,0.0,0.734,0.9131,Positive
67,67,2020-07-12,"Bought two bottles, both leak from the sprayer head, spoiling your hand always as well as loss. Too costly as compared to Savlon","Leaking container, less amount, more price",2,0.18,0.207,0.612,0.0516,Positive
68,68,2020-07-18,"This is a must have for people who are travelling for work, good to use at work station at office. Easy to use, just spray on any surface, laptop, table,mobile, purse bags, office chair etc. This is safe for the skin as well.",Must have - Sanitizer,5,0.221,0.0,0.779,0.8689,Positive
69,69,2020-10-01,Product is of reputable brand. The quality and quantity are definitely worth the price. the best part is that it is safe on skin as well as surface so can be used as a sanitizer for a surface disinfectant.,Best multipurpose branded germ spray,5,0.301,0.0,0.699,0.9153,Positive
70,70,2020-07-02,The nozzle is lose. It doesn't work if you use it at an angle. One bottle I got was dented.It is sticky after you spray it on your hands.The quantity is less for the price.But over all decent.,Decent,4,0.0,0.07,0.93,-0.4019,Negative
71,71,2020-06-17,"The moment I sprayed, I was disappointed with this product. We need to keep spraying it like a perfume! Should not be done for a sanitizer. Sorry I don't get harsh on manufacturers but this is really absurd.","It's not a automatic spray, just like a perfume. Useless.",3,0.104,0.089,0.807,0.1393,Positive
72,72,2020-06-20,It is so good on hands with awesome fragrance.It is good for mobile after the disinfectant sprayed on mobile the touch screen one can feel the difference while using the touch screen.It is also good for many other items except eatables.,Just go for it one in hand bag another at home,5,0.293,0.0,0.707,0.9462,Positive
73,73,2020-06-19,Quite handy and with times like these it's of super necessity. Carry around with you in cars and use it to quickly clean mobile or other small items you ourchasenor carry. It's not having intense scent so I like that as well.,Essential product,5,0.274,0.024,0.701,0.9096,Positive
74,74,2020-05-24,"Very useful product and handy. Easy to carry and use as and when needed or required. Decent scent fragrance and effective. Very important to keep your surrounding clean, specially in office or public place. Perfect product for keeping my office desk clean and useful for car as well.",Totally worth it thumbs_up ,5,0.397,0.0,0.603,0.9741,Positive
75,75,2020-06-19,Amazing product very smooth while sprying and very observing its observe with in seconds when you spray it i also use different brand sentizer spray but they are not that much quick its very nice product worth of buying and also its fregance is quite decent so give its try its worth of it... smiling_face_with_smiling_eyes ,Amazing Product,5,0.194,0.0,0.806,0.9007,Positive
76,76,2020-06-12,"Good product, safe on skin and does not cause any allergies. Can be used to sanitize currency notes and other items (place on a paper and spray adequately). Can be used to sanitize surfaces as advertised (no gas formula hence cannot be used in air)The only con is that cost is on the higher side for the quantity offered (75ml).","An important product at your home, in times of COVID-19",5,0.092,0.0,0.908,0.7003,Positive
77,77,2020-07-12,they have stop start trigger like layer short so at one go a very little quantity comes out making it hard to disinfect surfaces. also its costly compared to other players as it offers less quantity.,no continuous spray leading to in effective sanitization,1,0.065,0.13,0.805,-0.128,Negative
78,78,2020-10-01,"I really like this product. It disinfect all kind surface and kill the viruses.really useful to sanitize gate handles, keys, etc. And fragnance is also really good.",Disinfect all kind of surface thumbs_up  thumbs_up ,5,0.323,0.124,0.553,0.764,Positive
79,79,2020-07-28,"1.Pathetically packed, caps of bottles were broken and spray had already leaked. Looks it was packed locally without any quality check. Though, Amazon has charged separately for packing this stuff.2. Bottle pics shown is misleading, it's a very small bottle.3. Overall, it's a looting on the name for CORONA disinfectant.",Horribly Horrible,1,0.031,0.181,0.788,-0.802,Negative
80,80,2020-06-11,"A very useful product. Nice, compact and can be carried out anywhere in bag or pocket. I would love to recommend this product to others and I am sure everyone will like this. A very good product to be used in this current situation.",Effective and Strong,5,0.388,0.0,0.612,0.9636,Positive
81,81,2020-06-11,"very small can, for this price we get double the amt for dettol and savlon disinfectant spray",very small canfs,1,0.0,0.0,1.0,0.0,Neutral
82,82,2020-07-13,"Amazon being so vigilant, this is surprising that Amazon has delivered me a package where there was no protective seal on both bottles (infact one of the bottles did not have the cap) and the net weight/quantity was pretty less as compared to what it should posses. Obviously, the net amount is not worth the money. Not worth the price at all and I would recommend to look into other products.",Do not buy !! Please,1,0.168,0.07,0.762,0.7691,Positive
83,83,2020-06-10,"Product looks original but operation and feeling like duplicate. I think I've received duplicate products. Volume is also less in bottle, almost half.",Duplicate,1,0.259,0.0,0.741,0.6858,Positive
84,84,2020-08-28,"THis product is very bad. It's just half the size shown And the product does not even work, the nozzle is defective. It is non-returnable so an absolute waste of money and time and effort",BAD DONT BUY IT,1,0.0,0.234,0.766,-0.8676,Negative
85,85,2020-09-29,"Perfect to use to disinfect stuff . It works on all kinds of viruses, fungi, bacteria. The quantity is also good at this price . Loved the fragrance too. The best disinfectant so far.",Awesome,5,0.344,0.0,0.656,0.9403,Positive
86,86,2020-07-29,"Smell is not there and can be used of hand and on surface it is good, but worst thing is the spray do not work and liquid leaks , they did the product in hurry",Good but it leaks and spay is not good,3,0.1,0.139,0.762,-0.5574,Negative
87,87,2020-09-01,"Product is good, but the issue is after spray, it has to be wiped with a cloth. Ir would have been better in full aerosol form that doesn't need wiping",Overall average,3,0.177,0.0,0.823,0.7003,Positive
88,88,2020-09-18,"Easy to carry as the size of the bottle is very thin, can be used both on hand and surfaces. So serves all purposes. Scent is also very mild and shooting","Easy to carry, multi-purpose",5,0.174,0.0,0.826,0.7269,Positive
89,89,2020-06-17,"product is just awesome, wen we can simply use it as a spray over all our daily essential needs I found it really helpful, I use it on my door knobs wen maids or other person come in. Even the packages that arrives from online and many other uses.",Bast spray sanitizer,5,0.141,0.0,0.859,0.8016,Positive
90,90,2020-07-14,The difference is that this can be used on skin where as the Savlon is just a surface cleaner. This has a mild scent. Its a soft spray so that you can control the volume. Savlon has quite a overpowering scent. I have bought both. I don't think it is fair to compare both the products.,Compared to Savlon,4,0.077,0.0,0.923,0.4588,Positive
91,91,2020-06-18,"Pressure in the container is not enough or the plunger on the cap is applying less pressure, as a result of which the amount of liquid oozing out is not sufficient. Needs improvement.",Improvement required,4,0.0,0.185,0.815,-0.6795,Negative
92,92,2020-06-22,I this situation of pandemic this is a must buy product. As we touch so many surfaces in our day to day life if we are outside so its like a safe option to carry and spray surfaces before touching anything.Very handy as well can be easily placed in pocket and nice fragrance and value for money,Handy and value for money,5,0.246,0.0,0.754,0.9279,Positive
